engine,rating,days,discount,units
Hybrid,Medium,3,0,1
Electric,High,6,33,1
Electric,High,4,1,3
Hybrid,High,6,15,2
Electric,High,4,32,6
Gasoline,Medium,5,10,2
Diesel,Low,7,20,1
Hybrid,Medium,4,5,3
Electric,Medium,5,25,2
Gasoline,Low,3,0,1
Diesel,Low,4,10,2
Hybrid,Medium,5,5,1
Electric,High,6,20,3
Gasoline,High,7,30,1
Diesel,High,5,25,2
Hybrid,High,8,35,1
Electric,High,6,30,4
Gasoline,Medium,6,15,2
Diesel,Medium,8,25,1
Hybrid,Medium,7,20,3
Electric,Medium,5,10,2
Gasoline,Low,4,5,1
Diesel,Low,6,15,2
Hybrid,Medium,5,10,1
Electric,High,7,20,3
